day_of_week,hour_sin,hour_cos,month_sin,month_cos,is_weekend,quarter,lat,long,label
0.85714286,-0.03925982,-0.99922904,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.04361939,-0.99904822,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.04797813,-0.99884839,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.05233596,-0.99862953,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.05669279,-0.99839167,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.06104854,-0.99813480,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.08715574,-0.99619470,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.09584575,-0.99539620,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.09584575,-0.99539620,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.10018806,-0.99496852,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.10452846,-0.99452190,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.10886687,-0.99405634,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.11320321,-0.99357186,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.11753740,-0.99306846,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.15212339,-0.98836151,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.19509032,-0.98078528,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.19936793,-0.97992470,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.20364175,-0.97904547,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.20791169,-0.97814760,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.23768589,-0.97134207,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.27982901,-0.96004985,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.28401534,-0.95881973,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
0.85714286,-0.30486430,-0.95239580,0.86602540,0.50000000,0.00000000,0.25000000,32.05405405,34.80098247,0
